state,gender,activity_code,count_distinct_person
"A & N Islands","male","Travelling time related to self-care and maintenance activities",1
"A & N Islands","female","Assisting dependent adults with tasks of daily living",2
"A & N Islands","female","Accompanying dependent adults",1
"A & N Islands","female","Assisting dependent adults with medical care",1
"A & N Islands","female","Making, processing of products using other materials for own final use",3
"A & N Islands","female","Gathering firewood and other natural products used as fuel for own final use",6
"A & N Islands","male","Transporting goods and passengers for pay or profit in household enterprises",17
"A & N Islands","female","Other unpaid domestic services for household members",1
"A & N Islands","male","Breaks during working time within employment",1
"A & N Islands","female","Health/medical care to oneself",1
"A & N Islands","female","Other sleep and related activities",1
"A & N Islands","male","Vehicle maintenance and repairs",1
"A & N Islands","male","Attendance at organized/mass cultural events and shows",1
"A & N Islands","female","Breaks during working time within employment",1
"A & N Islands","male","Hunting, trapping and production of animal skins for own final use",1
"A & N Islands","female","Culture, leisure, mass-media and sports practices",2
"A & N Islands","male","Forestry and logging for own final use",4
"A & N Islands","female","Listening to radio and audio devices",8
"A & N Islands","female","Minding children (passive care)",3
"A & N Islands","male","Fetching water from natural and other sources for own final use",6
"A & N Islands","male","Drying textiles and clothing",1
"A & N Islands","male","Making, processing food products, beverages and tobacco for own final use",1
"A & N Islands","female","Travelling time related to socializing and communication, community participation and religious practice",17
"A & N Islands","male","Participating in sports",3
"A & N Islands","female","Accompanying own children",2
"A & N Islands","female","Making, processing of wood and bark products for own final use",3
"A & N Islands","male","Drinking other than with meal or snack",18
"A & N Islands","male","Caring for children including feeding, cleaning, physical care",3
"A & N Islands","female","Drinking other than with meal or snack",14
"A & N Islands","male","Listening to radio and audio devices",5
"A & N Islands","female","Travelling related to care-giving services for household members",4
"A & N Islands","male","Talking, conversing, chatting",98
"A & N Islands","male","Watching/listening to television and video",100
"A & N Islands","female","Eating meals/snack",194
"A & N Islands","female","Talking, conversing, chatting",152
"A & N Islands","female","Serving meals/snacks",42
"A & N Islands","female","Cleaning up after food preparation/meals/snacks",115
"A & N Islands","male","Construction activities for the market in household enterprises",37
"A & N Islands","male","Commuting",66
"A & N Islands","male","Personal hygiene and care",69
"A & N Islands","male","Eating meals/snack",176
"A & N Islands","male","Growing crops and kitchen gardening, for own final use",18
"A & N Islands","female","Hand/machine-washing",158
"A & N Islands","male","Other activities related to employment in household enterprises providing services",14
"A & N Islands","female","Growing crops and kitchen gardening, for own final use",19
"A & N Islands","female","Caring for children including feeding, cleaning, physical care",23
"A & N Islands","female","Personal hygiene and care",102
"A & N Islands","female","Private prayer, meditation and other spiritual activities",18
"A & N Islands","male","Homework, being tutored, course review, research and activities related to formal education",11
"A & N Islands","male","Playing games and other pastime activities",32
"A & N Islands","female","Receiving personal care from others",2
"A & N Islands","female","Homework, being tutored, course review, research and activities related to formal education",14
"A & N Islands","male","Growing of crops for the market in household enterprises",43
"A & N Islands","female","Growing of crops for the market in household enterprises",6
"A & N Islands","male","Making and processing goods for the market in household enterprises",20
"A & N Islands","female","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",4
"A & N Islands","female","Shopping for/purchasing of goods and related activities",10
"A & N Islands","female","Watching/listening to television and video",154
"A & N Islands","male","Activities associated with reflecting, resting, relaxing",52
"A & N Islands","female","Indoor cleaning",93
"A & N Islands","female","Activities associated with reflecting, resting, relaxing",141
"A & N Islands","male","Additional study, non-formal education and courses",6
"A & N Islands","female","Construction activities for the market in household enterprises",3
"A & N Islands","female","Travelling time related to learning",8
"A & N Islands","female","School/university attendance",71
"A & N Islands","female","Preparing meals/snacks",53
"A & N Islands","female","Making, processing textiles, wearing apparel, leather and related products for own final use",2
"A & N Islands","female","Storing, arranging, preserving food stocks",10
"A & N Islands","male","Construction activities for own final use",1
"A & N Islands","female","Construction activities for own final use",1
"A & N Islands","male","Night sleep/essential sleep",16
"A & N Islands","female","Incidental sleep/naps",7
"A & N Islands","male","Farming of animals and production of animal products for own final use",3
"A & N Islands","female","Outdoor cleaning",16
"A & N Islands","female","Shopping for/availing of services and related activity",1
"A & N Islands","female","Fetching water from natural and other sources for own final use",40
"A & N Islands","female","Drying textiles and clothing",50
"A & N Islands","female","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",23
"A & N Islands","male","School/university attendance",90
"A & N Islands","female","Playing and sports with children",4
"A & N Islands","female","Participating in collective religious practice",22
"A & N Islands","male","Gathering firewood and other natural products used as fuel for own final use",3
"A & N Islands","male","Instructing, teaching, training, helping children",1
"A & N Islands","male","Minding children (passive care)",2
"A & N Islands","female","Employment in corporations, government and non-profit institutions",29
"A & N Islands","female","Additional study, non-formal education and courses",9
"A & N Islands","female","Making, processing food products, beverages and tobacco for own final use",1
"A & N Islands","male","Fishing for own final use",2
"A & N Islands","male","Other activities related to culture, leisure, mass-media and sports practices",1
"A & N Islands","female","Vending and trading of goods in household enterprises",8
"A & N Islands","female","Travelling time related to self-care and maintenance activities",2
"A & N Islands","female","Providing paid domestic services",5
"A & N Islands","male","Receiving personal care from others",2
"A & N Islands","female","Talking with and reading to children",1
"A & N Islands","male","Attendance at parks/gardens",1
"A & N Islands","male","Travelling time related to culture, leisure, mass-media and sports practices",2
"A & N Islands","female","Attendance at parks/gardens",2
"A & N Islands","female","Travelling time related to culture, leisure, mass-media and sports practices",2
"A & N Islands","female","Reading for leisure",2
"A & N Islands","male","Other activities related to employment in household enterprises to produce goods",1
"A & N Islands","female","Exercising",4
"A & N Islands","female","Providing paid business and professional services in household enterprises",6
"A & N Islands","male","Employment-related travel",1
"A & N Islands","male","Fishing for the market in household enterprises",1
"A & N Islands","male","Other activities related to do-it-yourself decoration, maintenance and repair",1
"A & N Islands","male","Travelling time related to learning",17
"A & N Islands","male","Daily pet care",2
"A & N Islands","male","Exercising",4
"A & N Islands","male","Incidental sleep/naps",4
"A & N Islands","female","Night sleep/essential sleep",5
"A & N Islands","female","Unpaid volunteer childcare and instruction",1
"A & N Islands","male","Outdoor cleaning",2
"A & N Islands","female","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",1
"A & N Islands","female","Gathering wild products for own final use",4
"A & N Islands","male","Assisting dependent adults with medical care",1
"A & N Islands","male","Travelling related to care-giving services for household members",2
"A & N Islands","male","Gathering wild products for own final use",6
"A & N Islands","female","Making and processing goods for the market in household enterprises",6
"A & N Islands","male","Socializing/getting together/gathering activities",15
"A & N Islands","male","Employment in corporations, government and non-profit institutions",103
"A & N Islands","female","Socializing/getting together/gathering activities",11
"Andhra Pradesh","male","Activities associated with reflecting, resting, relaxing",501
"Andhra Pradesh","female","Other activities related to personal hygiene and care",1
"Andhra Pradesh","female","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",56
"Andhra Pradesh","male","Additional study, non-formal education and courses",77
"Andhra Pradesh","female","Other activities related to care for non-dependent adult household members",4
"Andhra Pradesh","female","Accompanying non-dependent adult household members",5
"Andhra Pradesh","male","Receiving health/medical care from others",34
"Andhra Pradesh","male","Travelling time related to self-care and maintenance activities",96
"Andhra Pradesh","male","Drinking other than with meal or snack",276
"Andhra Pradesh","male","Providing paid business and professional services in household enterprises",115
"Andhra Pradesh","female","Shopping for/purchasing of goods and related activities",65
"Andhra Pradesh","female","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",19
"Andhra Pradesh","female","Incidental sleep/naps",71
"Andhra Pradesh","female","Travelling time related to self-care and maintenance activities",46
"Andhra Pradesh","female","Receiving health/medical care from others",23
"Andhra Pradesh","male","Making and processing goods for the market in household enterprises",224
"Andhra Pradesh","male","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",132
"Andhra Pradesh","male","Shopping for/purchasing of goods and related activities",124
"Andhra Pradesh","female","Playing and sports with children",69
"Andhra Pradesh","female","Fetching water from natural and other sources for own final use",69
"Andhra Pradesh","female","Raising animals for the market in household enterprises",128
"Andhra Pradesh","female","Indoor cleaning",233
"Andhra Pradesh","female","Reading for leisure",23
"Andhra Pradesh","male","Self-study for distance education course work (video, audio, online)",10
"Andhra Pradesh","female","Construction activities for the market in household enterprises",90
"Andhra Pradesh","female","Other activities related to care for dependent adults",1
"Andhra Pradesh","male","Sleeplessness",10
"Andhra Pradesh","male","Accompanying dependent adults",2
"Andhra Pradesh","female","Sleeplessness",9
"Andhra Pradesh","male","Unpaid volunteer care for adults",3
"Andhra Pradesh","male","Other activities related to employment in household enterprises providing services",201
"Andhra Pradesh","female","Other activities related to employment in household enterprises providing services",76
"Andhra Pradesh","female","Making, processing food products, beverages and tobacco for own final use",5
"Andhra Pradesh","female","Health/medical care to oneself",45
"Andhra Pradesh","male","Reading and writing mail (including email)",6
"Andhra Pradesh","female","Drinking other than with meal or snack",214
"Andhra Pradesh","female","Outdoor cleaning",49
"Andhra Pradesh","female","Passive care of dependent adult",3
"Andhra Pradesh","male","Caring for children including feeding, cleaning, physical care",43
"Andhra Pradesh","male","Providing paid repair, installation, maintenance and disposal in household enterprises",108
"Andhra Pradesh","male","Fetching water from natural and other sources for own final use",23
"Andhra Pradesh","female","Farming of animals and production of animal products for own final use",16
"Andhra Pradesh","male","Socializing/getting together/gathering activities",149
"Andhra Pradesh","male","Incidental sleep/naps",62
"Andhra Pradesh","male","Indoor cleaning",13
"Andhra Pradesh","female","Making and processing goods for the market in household enterprises",165
"Andhra Pradesh","male","Night sleep/essential sleep",65
"Andhra Pradesh","male","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",7
"Andhra Pradesh","male","Other activities related to cleaning and upkeep of dwelling and surroundings",7
"Andhra Pradesh","male","Other activities related to do-it-yourself decoration, maintenance and repair",4
"Andhra Pradesh","female","Other activities related to do-it-yourself decoration, maintenance and repair",3
"Andhra Pradesh","female","Other activities related to cleaning and upkeep of dwelling and surroundings",52
"Andhra Pradesh","female","Homework, being tutored, course review, research and activities related to formal education",72
"Andhra Pradesh","male","Activities ancillary to employment",13
"Andhra Pradesh","female","Storing, arranging, preserving food stocks",33
"Andhra Pradesh","female","Other activities related to childcare and instruction",1
"Andhra Pradesh","male","Breaks at place of formal education",79
"Andhra Pradesh","female","Breaks at place of formal education",82
"Andhra Pradesh","male","Cleaning up after food preparation/meals/snacks",21
"Andhra Pradesh","male","Hand/machine-washing",25
"Andhra Pradesh","female","Providing paid personal care services in household enterprises",27
"Andhra Pradesh","male","Private prayer, meditation and other spiritual activities",119
"Andhra Pradesh","male","Other activities related to employment in household enterprises to produce goods",28
"Andhra Pradesh","female","Other activities related to employment in household enterprises to produce goods",14
"Andhra Pradesh","male","Preparing meals/snacks",41
"Andhra Pradesh","female","Socializing/getting together/gathering activities",57
"Andhra Pradesh","male","Reading for leisure",77
"Andhra Pradesh","male","Providing paid personal care services in household enterprises",70
"Andhra Pradesh","male","Involvement in civic and related responsibilities",1
"Andhra Pradesh","female","Additional study, non-formal education and courses",45
"Andhra Pradesh","female","Construction activities for own final use",6
"Andhra Pradesh","male","Construction activities for own final use",9
"Andhra Pradesh","female","Other activities related to food and meals management and preparation",35
"Andhra Pradesh","male","Employment-related travel",40
"Andhra Pradesh","female","Employment-related travel",9
"Andhra Pradesh","male","Forestry and logging for own final use",2
"Andhra Pradesh","female","Assisting dependent adults with tasks of daily living",12
"Andhra Pradesh","female","Other activities related to mass media use",44
"Andhra Pradesh","male","Do-it-yourself improvement, maintenance and repair of own dwelling",3
"Andhra Pradesh","female","Do-it-yourself improvement, maintenance and repair of own dwelling",2
"Andhra Pradesh","male","Aquaculture for the market in household enterprises",10
"Andhra Pradesh","female","Providing paid domestic services",68
"Andhra Pradesh","female","Travelling related to care-giving services for household members",59
"Andhra Pradesh","female","Minding children (passive care)",60
"Andhra Pradesh","female","Travelling time related to culture, leisure, mass-media and sports practices",13
"Andhra Pradesh","female","Unpaid volunteer childcare and instruction",12
"Andhra Pradesh","male","Growing crops and kitchen gardening, for own final use",6
"Andhra Pradesh","male","Other activities related to mass media use",88
"Andhra Pradesh","female","Attendance at sports events",1
"Andhra Pradesh","male","Attendance at sports events",2
"Andhra Pradesh","female","Travelling time related to unpaid volunteer, trainee and other unpaid work",4
"Andhra Pradesh","female","Other activities related to receiving personal and health/medical care",3
"Andhra Pradesh","male","Drying textiles and clothing",15
"Andhra Pradesh","female","Transporting goods and passengers for pay or profit in household enterprises",3
"Andhra Pradesh","male","Serving meals/snacks",6
"Andhra Pradesh","female","Other activities related to household management",14
"Andhra Pradesh","male","Travelling time related to culture, leisure, mass-media and sports practices",59
"Andhra Pradesh","male","Exercising",17
"Andhra Pradesh","female","Night sleep/essential sleep",14
"Andhra Pradesh","male","Minding children (passive care)",24
"Andhra Pradesh","male","Participating in community social functions (music, dance, etc.)",1
"Andhra Pradesh","female","Other unpaid domestic services for household members",7
"Andhra Pradesh","female","Daily pet care",4
"Andhra Pradesh","female","Making, processing textiles, wearing apparel, leather and related products for own final use",22
"Andhra Pradesh","male","Seeking employment",17
"Andhra Pradesh","male","Mining and quarrying for the market in household enterprises",17
"Andhra Pradesh","male","Listening to radio and audio devices",42
"Andhra Pradesh","male","Other activities related to care for dependent adults",1
"Andhra Pradesh","male","Health/medical care to oneself",43
"Andhra Pradesh","male","Breaks during working time within employment",47
"Andhra Pradesh","female","Unpaid volunteer household maintenance, management, construction, renovation and repair",7
"Andhra Pradesh","female","Seeking employment",3
"Andhra Pradesh","male","Feeding, cleaning, physical care for non-dependent adult household members including for temporary illness",2
"Andhra Pradesh","female","Self-study for distance education course work (video, audio, online)",6
"Andhra Pradesh","male","Fishing for the market in household enterprises",27
"Andhra Pradesh","female","Providing paid business and professional services in household enterprises",20
"Andhra Pradesh","male","Other activities related to formal education",51
"Andhra Pradesh","female","Other activities related to formal education",38
"Andhra Pradesh","male","Other activities related to learning",7
"Andhra Pradesh","male","Paying household bills",6
"Andhra Pradesh","female","Exercising",11
"Andhra Pradesh","female","Paying household bills",9
"Andhra Pradesh","male","Travelling related to care-giving services for household members",44
"Andhra Pradesh","male","Accompanying own children",5
"Andhra Pradesh","female","Instructing, teaching, training, helping children",19
"Andhra Pradesh","female","Other activities related to unpaid caregiving services for household members ",3
"Andhra Pradesh","male","Other activities related to socializing and communication",7
"Andhra Pradesh","female","Providing medical care to children",9
"Andhra Pradesh","female","Accompanying own children",7
"Andhra Pradesh","female","Feeding, cleaning, physical care for non-dependent adult household members including for temporary illness",6
"Andhra Pradesh","male","Assisting dependent adults with medical care",3
"Andhra Pradesh","female","Unpaid volunteer care for adults",5
"Andhra Pradesh","male","Talking with and reading to children",4
"Andhra Pradesh","male","Unpaid volunteer preparing/serving meals, cleaning up",1
"Andhra Pradesh","male","Providing paid domestic services",15
"Andhra Pradesh","female","Extra-curricular activities",1
"Andhra Pradesh","transgender","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",1
"Andhra Pradesh","transgender","Growing of crops for the market in household enterprises",1
"Andhra Pradesh","transgender","Talking, conversing, chatting",1
"Andhra Pradesh","male","Assisting dependent adults with tasks of daily living",1
"Andhra Pradesh","male","Accompanying non-dependent adult household members",4
"Andhra Pradesh","female","Forestry and logging for the market in household enterprises",2
"Andhra Pradesh","female","Other self-care and maintenance activities",2
"Andhra Pradesh","transgender","Personal hygiene and care",1
"Andhra Pradesh","transgender","School/university attendance",1
"Andhra Pradesh","female","Breaks during working time within employment",17
"Andhra Pradesh","male","Ironing/pressing/folding",15
"Andhra Pradesh","female","Aquaculture for the market in household enterprises",4
"Andhra Pradesh","male","Unpaid volunteer childcare and instruction",2
"Andhra Pradesh","female","Growing crops and kitchen gardening, for own final use",2
"Andhra Pradesh","male","Other self-care and maintenance activities",8
"Andhra Pradesh","male","Other activities related to household management",2
"Andhra Pradesh","male","Other unpaid domestic services for household members",4
"Andhra Pradesh","male","Other activities related to receiving personal and health/medical care",2
"Andhra Pradesh","male","Vehicle maintenance and repairs",9
"Andhra Pradesh","female","Activities ancillary to employment",3
"Andhra Pradesh","male","Unpaid volunteer shopping/purchasing goods and services",1
"Andhra Pradesh","female","Fishing for the market in household enterprises",2
"Andhra Pradesh","female","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",2
"Andhra Pradesh","female","Listening to radio and audio devices",7
"Andhra Pradesh","female","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",17
"Andhra Pradesh","female","Assisting dependent adults with medical care",6
"Andhra Pradesh","male","Other activities related to community- and organizationbased unpaid volunteering",1
"Andhra Pradesh","female","Unpaid volunteer preparing/serving meals, cleaning up",3
"Andhra Pradesh","female","Other activities related to culture, leisure, mass-media and sports practices",2
"Andhra Pradesh","male","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",3
"Andhra Pradesh","female","Recycling and disposal of garbage",9
"Andhra Pradesh","female","Ironing/pressing/folding",21
"Andhra Pradesh","male","Instructing, teaching, training, helping children",2
"Andhra Pradesh","male","Recycling and disposal of garbage",2
"Andhra Pradesh","male","Other sleep and related activities",1
"Andhra Pradesh","female","Unpaid volunteer shopping/purchasing goods and services",1
"Andhra Pradesh","male","Other activities related to unpaid caregiving services for household members ",2
"Andhra Pradesh","female","Attendance at organized/mass cultural events and shows",3
"Andhra Pradesh","female","Participating in community celebrations of cultural/historic events",2
"Andhra Pradesh","male","Participating in community celebrations of cultural/historic events",6
"Andhra Pradesh","male","Affective/emotional support for non-dependent adult household members",1
"Andhra Pradesh","male","Extra-curricular activities",1
"Andhra Pradesh","male","Other activities related to community participation",1
"Andhra Pradesh","female","Shopping for/availing of services and related activity",3
"Andhra Pradesh","female","Other activities related to religious practice",2
"Andhra Pradesh","female","Tending furnace, boiler, fireplace for heating and water supply",2
"Andhra Pradesh","male","Other activities related to religious practice",3
"Andhra Pradesh","male","Unpaid volunteer cultural activities, recreation and sports activities",1
"Andhra Pradesh","female","Unpaid volunteer cultural activities, recreation and sports activities",1
"Andhra Pradesh","female","Unpaid volunteer work on road/building repair, clearing and preparing land, cleaning (streets, markets, etc.), and construction",1
"Andhra Pradesh","male","Culture, leisure, mass-media and sports practices",5
"Andhra Pradesh","female","Culture, leisure, mass-media and sports practices",2
"Andhra Pradesh","female","Budgeting, planning, organizing duties and activities in the household",2
"Andhra Pradesh","female","Participating in sports",5
"Andhra Pradesh","male","Other activities related to culture, leisure, mass-media and sports practices",7
"Andhra Pradesh","male","Shopping for/availing of services and related activity",3
"Andhra Pradesh","male","Eating meals/snack",3660
"Andhra Pradesh","male","Forestry and logging for the market in household enterprises",2
"Andhra Pradesh","female","Employment in corporations, government and non-profit institutions",377
"Andhra Pradesh","male","Participating in sports",24
"Andhra Pradesh","male","Construction activities for the market in household enterprises",632
"Andhra Pradesh","male","Homework, being tutored, course review, research and activities related to formal education",60
"Andhra Pradesh","male","Playing and sports with children",42
"Andhra Pradesh","female","Vending and trading of goods in household enterprises",136
"Andhra Pradesh","male","Vending and trading of goods in household enterprises",397
"Andhra Pradesh","female","Activities associated with reflecting, resting, relaxing",771
"Andhra Pradesh","female","Serving meals/snacks",709
"Andhra Pradesh","female","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",9
"Andhra Pradesh","female","Participating in collective religious practice",111
"Andhra Pradesh","male","Participating in collective religious practice",75
"Andhra Pradesh","female","Cleaning up after food preparation/meals/snacks",1238
"Andhra Pradesh","male","Transporting goods and passengers for pay or profit in household enterprises",274
"Andhra Pradesh","male","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",29
"Andhra Pradesh","male","Gathering firewood and other natural products used as fuel for own final use",4
"Andhra Pradesh","female","Travelling time related to socializing and communication, community participation and religious practice",194
"Andhra Pradesh","male","Travelling time related to socializing and communication, community participation and religious practice",213
"Andhra Pradesh","female","Private prayer, meditation and other spiritual activities",462
"Andhra Pradesh","female","Talking with and reading to children",7
"Andhra Pradesh","female","Personal hygiene and care",1303
"Andhra Pradesh","female","Gathering firewood and other natural products used as fuel for own final use",17
"Andhra Pradesh","female","Preparing meals/snacks",898
"Andhra Pradesh","female","Drying textiles and clothing",987
"Andhra Pradesh","male","Employment in corporations, government and non-profit institutions",826
"Andhra Pradesh","female","Receiving personal care from others",31
"Andhra Pradesh","male","Personal hygiene and care",894
"Andhra Pradesh","male","Fishing for own final use",1
"Andhra Pradesh","male","Unpaid volunteer activities in enterprises owned by other households",2
"Andhra Pradesh","male","Travelling time related to unpaid volunteer, trainee and other unpaid work",7
"Andhra Pradesh","male","Playing games and other pastime activities",328
"Andhra Pradesh","male","Receiving personal care from others",32
"Andhra Pradesh","female","Unpaid volunteer activities in enterprises owned by other households",2
"Andhra Pradesh","male","Raising animals for the market in household enterprises",205
"Andhra Pradesh","male","Commuting",2231
"Andhra Pradesh","female","Hand/machine-washing",1729
"Andhra Pradesh","female","Watching/listening to television and video",2133
"Andhra Pradesh","female","Playing games and other pastime activities",208
"Andhra Pradesh","male","Farming of animals and production of animal products for own final use",14
"Andhra Pradesh","male","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",18
"Andhra Pradesh","male","Watching/listening to television and video",1380
"Andhra Pradesh","female","School/university attendance",926
"Andhra Pradesh","female","Travelling time related to learning",619
"Andhra Pradesh","male","School/university attendance",1117
"Andhra Pradesh","male","Travelling time related to learning",775
"Andhra Pradesh","female","Caring for children including feeding, cleaning, physical care",930
"Andhra Pradesh","female","Talking, conversing, chatting",2461
"Andhra Pradesh","female","Eating meals/snack",4678
"Andhra Pradesh","female","Growing of crops for the market in household enterprises",996
"Andhra Pradesh","female","Commuting",947
"Andhra Pradesh","male","Talking, conversing, chatting",2087
"Andhra Pradesh","male","Growing of crops for the market in household enterprises",1416
"Andhra Pradesh","male","Attendance at organized/mass cultural events and shows",3
"Andhra Pradesh","female","Other activities related to pet care",1
"Andhra Pradesh","male","Other activities related to attendance at cultural, entertainment and sports events",1
"Andhra Pradesh","female","Meetings and arrangements with schools and child care service providers",1
"Andhra Pradesh","male","Other activities related to cultural participation, hobbies, games",1
"Andhra Pradesh","male","Unpaid trainee work and related activities",1
"Andhra Pradesh","male","Training and studies in relation to employment",1
"Andhra Pradesh","male","Other activities related to personal hygiene and care",1
"Andhra Pradesh","male","Outdoor cleaning",2
"Andhra Pradesh","male","Storing, arranging, preserving food stocks",2
"Andhra Pradesh","female","Other sleep and related activities",1
"Andhra Pradesh","female","Other activities related to socializing and communication",2
"Andhra Pradesh","female","Other activities related to learning",1
"Andhra Pradesh","male","Installation, servicing and repair of personal and household goods including ICT equipment",1
"Andhra Pradesh","female","Other activities related to community participation",1
"Andhra Pradesh","male","Meetings and arrangements with schools and child care service providers",1
"Andhra Pradesh","male","Hobbies",1
"Andhra Pradesh","female","Mining and quarrying for the market in household enterprises",3
"Andhra Pradesh","male","Attendance at parks/gardens",1
"Andhra Pradesh","male","Providing medical care to children",1
"Arunachal Pradesh","male","Exercising",6
"Arunachal Pradesh","female","Transporting goods and passengers for pay or profit in household enterprises",1
"Arunachal Pradesh","female","Health/medical care to oneself",4
"Arunachal Pradesh","male","Listening to radio and audio devices",13
"Arunachal Pradesh","male","Hunting, trapping and production of animal skins for own final use",7
"Arunachal Pradesh","female","Receiving personal care from others",3
"Arunachal Pradesh","male","Incidental sleep/naps",2
"Arunachal Pradesh","male","Travelling time related to self-care and maintenance activities",2
"Arunachal Pradesh","male","Other activities related to employment in household enterprises to produce goods",7
"Arunachal Pradesh","female","Other unpaid domestic services for household members",1
"Arunachal Pradesh","male","Shopping for/availing of services and related activity",3
"Arunachal Pradesh","female","Employment-related travel",2
"Arunachal Pradesh","female","Incidental sleep/naps",5
"Arunachal Pradesh","female","Accompanying own children",6
"Arunachal Pradesh","male","Other activities related to pet care",1
"Arunachal Pradesh","male","Fetching water from natural and other sources for own final use",1
"Arunachal Pradesh","male","Eating meals/snack",610
"Arunachal Pradesh","male","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",38
"Arunachal Pradesh","male","Gathering wild products for own final use",10
"Arunachal Pradesh","female","Eating meals/snack",697
"Arunachal Pradesh","female","Caring for children including feeding, cleaning, physical care",394
"Arunachal Pradesh","female","Cleaning up after food preparation/meals/snacks",713
"Arunachal Pradesh","female","Indoor cleaning",262
"Arunachal Pradesh","female","Outdoor cleaning",103
"Arunachal Pradesh","female","Hand/machine-washing",552
"Arunachal Pradesh","female","Drying textiles and clothing",454
"Arunachal Pradesh","male","Talking, conversing, chatting",426
"Arunachal Pradesh","male","Watching/listening to television and video",148
"Arunachal Pradesh","male","Other activities related to mass media use",62
"Arunachal Pradesh","male","Playing games and other pastime activities",31
"Arunachal Pradesh","female","Making, processing textiles, wearing apparel, leather and related products for own final use",159
"Arunachal Pradesh","male","Other activities related to personal hygiene and care",42
"Arunachal Pradesh","female","Travelling related to care-giving services for household members",7
"Arunachal Pradesh","male","Employment-related travel",2
"Arunachal Pradesh","female","Shopping for/purchasing of goods and related activities",8
"Arunachal Pradesh","female","Exercising",1
"Arunachal Pradesh","male","Extra-curricular activities",1
"Arunachal Pradesh","male","Activities ancillary to employment",1
"Arunachal Pradesh","female","Travelling time related to culture, leisure, mass-media and sports practices",2
"Arunachal Pradesh","female","Other activities related to cultural participation, hobbies, games",1
"Arunachal Pradesh","female","Other activities related to care for non-dependent adult household members",1
"Arunachal Pradesh","female","Other activities related to employment in household enterprises providing services",10
"Arunachal Pradesh","female","Minding children (passive care)",9
"Arunachal Pradesh","male","Accompanying own children",3
"Arunachal Pradesh","female","Providing paid domestic services",3
"Arunachal Pradesh","male","Other activities related to childcare and instruction",3
"Arunachal Pradesh","female","Training and studies in relation to employment",1
"Arunachal Pradesh","female","Other self-care and maintenance activities",5
"Arunachal Pradesh","male","Other self-care and maintenance activities",15
